Start date; Duration; Assigned task;Category;Type
8/11/21 13:03;60;Tipología y ciclo de vida de los datos;Miscellany;Master
8/11/21 14:18;60;Tipología y ciclo de vida de los datos;Miscellany;Master
8/11/21 17:52;60;Tipología y ciclo de vida de los datos;Miscellany;Master
8/11/21 19:50;60;Tipología y ciclo de vida de los datos;Miscellany;Master
8/11/21 20:58;60;Tipología y ciclo de vida de los datos;Miscellany;Master
9/11/21 9:41;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 10:41;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 12:49;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 14:20;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 16:30;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 20:51;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 22:13;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/11/21 23:13;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
11/11/21 11:26;60;Programación para la ciencia de datos;Programming;Levelling
11/11/21 12:40;60;Programación para la ciencia de datos;Programming;Levelling
11/11/21 14:11;60;Programación para la ciencia de datos;Programming;Levelling
11/11/21 23:09;60;Minería de datos;Programming;Levelling
12/11/21 12:55;60;Minería de datos;Programming;Levelling
12/11/21 14:17;60;Minería de datos;Programming;Levelling
12/11/21 15:37;60;Minería de datos;Programming;Levelling
12/11/21 18:22;60;Programación para la ciencia de datos;Programming;Levelling
14/11/21 12:30;60;Programación para la ciencia de datos;Programming;Levelling
14/11/21 13:51;60;Programación para la ciencia de datos;Programming;Levelling
14/11/21 17:00;60;Minería de datos;Programming;Levelling
14/11/21 18:17;60;Minería de datos;Programming;Levelling
14/11/21 19:48;60;Minería de datos;Programming;Levelling
14/11/21 22:13;60;Minería de datos;Programming;Levelling
15/11/21 9:26;60;Programación para la ciencia de datos;Programming;Levelling
15/11/21 11:35;60;Programación para la ciencia de datos;Programming;Levelling
15/11/21 12:51;60;Programación para la ciencia de datos;Programming;Levelling
15/11/21 17:47;60;Programación para la ciencia de datos;Programming;Levelling
15/11/21 18:47;60;Programación para la ciencia de datos;Programming;Levelling
15/11/21 20:06;60;Minería de datos;Programming;Levelling
15/11/21 21:16;60;Minería de datos;Programming;Levelling
16/11/21 0:01;60;Minería de datos;Programming;Levelling
16/11/21 9:22;60;Minería de datos;Programming;Levelling
16/11/21 10:30;60;Minería de datos;Programming;Levelling
16/11/21 12:04;60;Minería de datos;Programming;Levelling
16/11/21 13:04;60;Minería de datos;Programming;Levelling
16/11/21 14:06;60;Minería de datos;Programming;Levelling
16/11/21 15:08;60;Minería de datos;Programming;Levelling
16/11/21 17:01;60;Minería de datos;Programming;Levelling
16/11/21 23:06;60;Programación para la ciencia de datos;Programming;Levelling
17/11/21 10:42;60;Programación para la ciencia de datos;Programming;Levelling
17/11/21 12:10;60;Minería de datos;Programming;Levelling
17/11/21 13:10;60;Minería de datos;Programming;Levelling
17/11/21 14:41;60;Minería de datos;Programming;Levelling
17/11/21 17:05;60;Minería de datos;Programming;Levelling
17/11/21 18:09;60;Minería de datos;Programming;Levelling
17/11/21 19:09;60;Minería de datos;Programming;Levelling
17/11/21 20:09;60;Minería de datos;Programming;Levelling
18/11/21 0:06;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 10:00;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 11:00;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 12:41;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 13:41;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 14:41;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 16:36;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 17:38;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 18:51;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 20:25;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 22:17;60;Programación para la ciencia de datos;Programming;Levelling
18/11/21 23:17;60;Programación para la ciencia de datos;Programming;Levelling
19/11/21 11:19;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/11/21 19:49;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/11/21 21:14;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/11/21 22:14;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/11/21 23:15;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
20/11/21 11:25;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
22/11/21 21:07;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
23/11/21 10:49;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
23/11/21 11:49;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
23/11/21 12:49;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
23/11/21 14:20;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
23/11/21 21:18;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
24/11/21 10:59;60;Programación en scripting;Programming;Levelling
24/11/21 12:04;60;Programación en scripting;Programming;Levelling
24/11/21 13:37;60;Programación en scripting;Programming;Levelling
24/11/21 17:59;60;Programación en scripting;Programming;Levelling
24/11/21 18:59;60;Programación en scripting;Programming;Levelling
24/11/21 20:33;60;Fundamentos de la ciencia de datos;Miscellany;Master
24/11/21 21:33;60;Fundamentos de la ciencia de datos;Miscellany;Master
25/11/21 10:07;60;Fundamentos de la ciencia de datos;Miscellany;Master
25/11/21 11:21;60;Fundamentos de la ciencia de datos;Miscellany;Master
25/11/21 12:21;60;Fundamentos de la ciencia de datos;Miscellany;Master
25/11/21 13:26;60;Fundamentos de la ciencia de datos;Miscellany;Master
25/11/21 17:13;60;Programación en scripting;Programming;Levelling
25/11/21 22:43;60;Programación en scripting;Programming;Levelling
25/11/21 23:43;60;Programación en scripting;Programming;Levelling
26/11/21 10:18;60;Programación en scripting;Programming;Levelling
26/11/21 11:18;60;Programación en scripting;Programming;Levelling
26/11/21 12:38;60;Programación en scripting;Programming;Levelling
26/11/21 13:42;60;Programación en scripting;Programming;Levelling
26/11/21 17:37;60;Programación en scripting;Programming;Levelling
26/11/21 19:45;60;Fundamentos de la ciencia de datos;Miscellany;Master
26/11/21 20:46;60;Fundamentos de la ciencia de datos;Miscellany;Master
27/11/21 11:23;60;Fundamentos de la ciencia de datos;Miscellany;Master
27/11/21 12:43;60;Fundamentos de la ciencia de datos;Miscellany;Master
27/11/21 13:53;60;Fundamentos de la ciencia de datos;Miscellany;Master
27/11/21 16:17;60;Fundamentos de la ciencia de datos;Miscellany;Master
27/11/21 17:17;60;Fundamentos de la ciencia de datos;Miscellany;Master
27/11/21 18:52;60;Programación en scripting;Programming;Levelling
28/11/21 10:20;60;Programación en scripting;Programming;Levelling
28/11/21 11:46;60;Programación en scripting;Programming;Levelling
28/11/21 13:35;60;Fundamentos de la ciencia de datos;Miscellany;Master
28/11/21 14:35;60;Fundamentos de la ciencia de datos;Miscellany;Master
28/11/21 19:30;60;Tipología y ciclo de vida de los datos;Miscellany;Master
28/11/21 20:45;60;Tipología y ciclo de vida de los datos;Miscellany;Master
28/11/21 21:45;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 10:41;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 12:17;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 14:28;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 19:02;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 20:02;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 21:09;60;Tipología y ciclo de vida de los datos;Miscellany;Master
29/11/21 22:28;60;Tipología y ciclo de vida de los datos;Miscellany;Master
30/11/21 10:10;60;Minería de datos;Programming;Levelling
30/11/21 12:30;60;Minería de datos;Programming;Levelling
30/11/21 13:30;60;Minería de datos;Programming;Levelling
30/11/21 22:26;60;Minería de datos;Programming;Levelling
30/11/21 23:28;60;Minería de datos;Programming;Levelling
1/12/21 10:44;60;Minería de datos;Programming;Levelling
1/12/21 12:24;60;Minería de datos;Programming;Levelling
1/12/21 13:24;60;Minería de datos;Programming;Levelling
